bucket,review_key,product_count,max_priority_score,closest_tier_boundary,identity_confidence_counts,sample_dsld_ids
external_literature_review_required,fiber,13,3.4125,2.0,"{""moderate"":13}","[""62810"",""228873"",""229984"",""252564"",""255061"",""255062"",""255063"",""259395"",""306224"",""306225""]"
external_literature_review_required,hericium mushroom,19,3.325,5.0,"{""moderate"":19}","[""241808"",""252775"",""254517"",""254518"",""254522"",""306371"",""311679"",""312351"",""312352"",""312353""]"
external_literature_review_required,raspberry ketone,13,3.25,5.0,"{""high"":13}","[""29325"",""254168"",""254169"",""254170"",""254173"",""294378"",""294379"",""311828"",""311829"",""311830""]"
external_literature_review_required,sarsaparilla,13,3.25,4.0,"{""high"":13}","[""205157"",""252731"",""254371"",""254372"",""254373"",""311534"",""311535"",""311536"",""311567"",""330633""]"
external_literature_review_required,artichoke,12,3.15,2.0,"{""moderate"":12}","[""18368"",""30958"",""64707"",""64709"",""200887"",""269954"",""310834"",""310836"",""330256"",""330257""]"
external_literature_review_required,lemon,12,3.15,3.0,"{""moderate"":12}","[""252733"",""254431"",""254437"",""254438"",""312827"",""312828"",""312829"",""312830"",""329989"",""329990""]"
external_literature_review_required,mango,12,3.15,3.0,"{""moderate"":12}","[""252690"",""253930"",""253932"",""253933"",""310977"",""310978"",""310979"",""310980"",""329730"",""329731""]"
external_literature_review_required,alanine,8,3.0,2.0,"{""high"":8}","[""252578"",""253966"",""253968"",""253969"",""312074"",""312075"",""312076"",""312077""]"
external_literature_review_required,collagen,8,3.0,3.0,"{""high"":8}","[""3785"",""74882"",""178677"",""217919"",""243694"",""294458"",""294459"",""328603""]"
external_literature_review_required,horse chestnut,8,3.0,2.0,"{""high"":7,""moderate"":1}","[""18261"",""74668"",""216723"",""328762"",""331005"",""331006"",""331007"",""331008""]"
external_literature_review_required,jujube,12,3.0,5.0,"{""high"":12}","[""294297"",""294298"",""294299"",""294300"",""311885"",""311886"",""311887"",""311888"",""331243"",""331244""]"
external_literature_review_required,juniper,12,3.0,4.0,"{""high"":12}","[""54273"",""252557"",""255040"",""255041"",""255044"",""312056"",""312057"",""312058"",""312059"",""331147""]"
external_literature_review_required,oregano,12,3.0,5.0,"{""high"":12}","[""274480"",""285636"",""311148"",""311149"",""311150"",""311151"",""312981"",""329948"",""330165"",""330166""]"
external_literature_review_required,strontium,6,3.0,1.0,"{""high"":6}","[""62598"",""62637"",""62638"",""185255"",""278363"",""328714""]"
external_literature_review_required,apple,17,2.975,4.0,"{""moderate"":17}","[""231929"",""232062"",""252636"",""253733"",""253735"",""253738"",""295071"",""295072"",""295073"",""310656""]"
external_literature_review_required,hoodia,17,2.975,5.0,"{""moderate"":17}","[""252637"",""254748"",""254749"",""254750"",""311985"",""311986"",""311987"",""311989"",""312906"",""312907""]"
external_literature_review_required,yacon,11,2.8875,3.0,"{""moderate"":11}","[""77044"",""252784"",""254730"",""254731"",""254733"",""311905"",""311906"",""311907"",""311908"",""331259""]"
evidence_exists_identity_or_linkage_failed,INGR_PSYLLIUM_HUSK,8,2.8,4.0,"{""moderate"":8}","[""252907"",""254361"",""254362"",""254363"",""311639"",""311642"",""311646"",""311649""]"
